,city,title,url
427,Salt Lake City,Mineral Collectors of Utah,http://m-c-u.org/
428,Moab,Moab Rock Club,https://www.facebook.com/Moab-Rock-Club-1508131859497762/
429,Sandy,Rockhounders Outreach for Community Knowledge,http://www.rockhoundersock.com/
430,Provo,Timpanogos Gem & Mineral Society,http://timprocks.weebly.com/
431,Tooele,Tooele Gem & Mineral Society,https://www.facebook.com/Tooele-Gem-Mineral-Society-1742342656045404/
432,Salt Lake City,Wasatch Gem Society,http://www.wasatchgemsociety.com/
433,Burlington,Burlington Gem and Mineral Club,http://www.burlingtongemandmineralclub.org/
434,Rutland,Rutland Rock & Mineral Club,http://www.rutlandrockmineralclub.50webs.com/
435,Manassas,"Gem and Mineral Hunters, Inc.",http://www.gmhonline.org/
436,Lynchburg,Gem and Mineral Society of Lynchburg,http://www.lynchburgrockclub.org/
437,Hampton,Gem and Mineral Society of the Virginia Peninsula,http://www.gmsvp.org/
438,Arlington,"Northern Virginia Mineral Club, Inc.",http://www.novamineralclub.org/
439,Richmond,Richmond Gem & Mineral Society,http://www.rgms-va.info/
440,Roanoke,Roanoke Valley Mineral & Gem Society,https://www.facebook.com/RVMGS/
441,Waynesboro,Shenandoah Valley Gem & Mineral Society,http://www.shenandoahvalleyrockclub.org/
442,Virginia Beach,Tidewater Gem & Mineral Society,http://tgms.weebly.com/
443,Bellevue,"Bellevue Rock Club, Inc.",http://www.bellevuerockclub.org/
444,Kent,Cascade Mineralogical Society Inc,http://www.cascademineralogicalsociety.org/
445,Port Angeles,Clallam County Gem & Mineral Association,http://www.olympicrocks.com/
446,Darrington,Darrington Rock & Gem Club,https://www.facebook.com/DarringtonRGC/
447,Kirkland,East KingCo Rock Club,http://www.eastkingco.org/
448,Everett,Everett Rock & Gem Club,http://www.everettrockclub.com/
449,Wenatchee,Ginkgo Mineral Society,http://wenatcheerockclub.org/
450,Bremerton,Kitsap Mineral and Gem Societ,http://www.kmgs.org/
451,Kennewick,"Lakeside Gem & Mineral Club, Inc.",http://www.lakesidegemandmineralclub.com/
452,Edmonds,Maplewood Rock & Gem Community Club,http://www.maplewoodrockclub.com/
453,Walla Walla,Marcus Whitman Gem and Mineral Society,https://www.sites.google.com/site/mwgemandmineral/
454,Marysville,"Marysville Rock & Gem Club, Inc.",https://sites.google.com/site/marysvillerockngemclub/
455,Bellingham,Mount Baker Rock And Gem Club,http://mtbakerrockclub.org/
456,Kent,North American Miners Association,http://www.namaminers.org/
457,Mount Vernon,North Puget Sound Facetors Guild,http://www.facetguild.com/
458,Puget Sound,Northwest Paleontological Association,http://nwpaleo.org/
459,Arden,Panorama Gem & Mineral Club,http://panoramagem.com/
460,Puyallup,Puyallup Valley Gem & Mineral Club,https://www.facebook.com/PuyallupValleyGemClub
461,Mt. Vernon,Skagit Rock and Gem Club,https://www.skagitrockandgem.com/
462,Spokane Valley,Spokane Rock Rollers Club,http://www.rockrollers.org/WP/
463,Seattle,North Seattle Lapidary & Mineral Club,http://www.northseattlerockclub.org
464,Olympia,Washington Agate and Mineral Society,https://wamsolympia.wordpress.com
465,Seattle,West Seattle Rock Club,http://www.westseattlerockclub.org/
466,Yakima,Yakima Rock & Mineral Club,http://www.yakimarockclub.com/
467,Charleston,Kanawha Rock and Gem Club,http://www.kanawharockandgemclub.org/
468,Morgantown,Prehistoric West Virginia,http://prehistoricplanet.com/wv/
469,Clarksburg,West Virginia Fossil Club Inc,http://www.westvirginiafossilclub.com/
470,Monroe,"Badger Lapidary & Geological Society, Inc.",http://www.badgerrockclub.org/
471,La Crosse,Coulee Rock Club of La Crosse,https://www.facebook.com/pages/The-Coulee-Rock-Club/182345351787782
472,Marshfield & Stevens Point,Heart of Wisconsin Gem & Mineral Society,https://www.heartofwisconsinrocks.com/
473,Pewaukee,Kettle Moraine Geological Society,http://www.kmgsrocks.com/
474,Minocqua,Lakeland Gem Club,http://www.lakelandgemclub.com/
475,Madison,Madison Gem and Mineral Club,http://www.madisonrockclub.org/
476,Cameron,Northwest Wisconsin Gem & Mineral Society,http://www.cameronamericanlegion.org/rockclub.html
477,Oshkosh,Oshkosh Earth Science Club,https://sites.google.com/site/oshkoshearthscienceclub/home
478,Racine,"Racine Geological Society, Inc",http://rgs-wi.tripod.com/
479,Menasha,Weis'n'Miners Geology Club,http://www.weismuseum.org/geology-club.html
480,West Allis,Wisconsin Geological Society,http://www.wisgeologicalsociety.com/
481,Cody,Cody 59ers Rock Club,http://www.cody59ers.com/
482,Riverton,Riverton Mineral and Gem Society,http://www.rivertonmgs.com/
483,Cody,Wyoming State Mineral and Gem Society,http://wymineralandgemsociety.org
